,id,retweet_count,lang,full_text,sentiment
0,1258789958229340160,0,en,We are doing everything in our power to ABUSE Fight against COVID  19ABUSE  by using the right Equipment including ULV Cold Foggers and EPA approved Botanical Disinfectants that are powerful enough to kill any virus while LINK,negative
1,1258809838727036946,0,en,Adhering to guidelines and timings given by our  government to fight COVID19   we are opening our music store  from tomorrow  Orders accepted through online store LINK Minimal delivery charges LINK,negative
2,1260906811454095375,0,en,"List of todays Covid19 patients

IndiaFightsCorona
HelpUsToHelpYou
StayHomeStaySafe
TogetherForIndia Vadodara Thepeopleofvadodara Tpov Coronaupdate CoronaSafety CoronavirusOutbreakindia coronavirusindia LINK",neutral
3,1260987098045317121,0,en,Wows their believed reopen like coronavirus case n 3 lakh death for what you believed reopen and then u believed reopen coronavirus case n 3 lakh deaths must never forget as lockdown in the occupation coronavirus LINK,neutral
4,1251747804155973632,0,en,The decision of PM Narendra Modi to extend the lockdown until 3rd May 20 was a must to curb the spread of COVID19 as it is increasing at an uncontrollable pace To maintain the utmost care we have made some of LINK,neutral
5,1251756856575287296,0,en,"Repost sandeshnews 

Coronaupdate COVID19 coronapandemic CoronaPositive  Surat Gujarat LINK",neutral
6,1251908816842756096,0,en,"Storms are some glitches in a sky full of stars ️

Buy my postapocalyptic short story TORANOI based on PANDEMIC COVID19 now available on Amazon Kindle Do share a review if youve read already️️

ALSO DO LINK",positive
7,1252533499648565250,0,en,"PF Related Query
iam available MAIL Covid19 
No charges covid19  StayhomeStaysafe
My WhatsApp no 910295250  India LINK",positive
8,1258610327245197312,0,en,"Now it is time to change Only better cleaning and sanitization can save the world 
LINK 
sanitization cleaning coronavirus coronavirus  Kolkata LINK",positive
9,1251803347243470852,0,en,I have found that if you love life life will love you alwaysStay Home lives long nd fight covid19 👍👍👍🇮🇳️️  Shekhpura Chhapra Bihar LINK,positive
10,1251899976164216839,0,en,"Nandikas happy to explain on how to wash your hand properly 😊



handwash cleanyourhand corona stayhomestaysafe safetyfirst  Bangalore India LINK",positive
11,1251930802662838274,0,en,"Hello Friends
RajGardenPlants ROOKHRAJPAUDHSHALA
memories covid19 corona IndiaFightsCorona stayhome staysafe Shayari love ishc pyar poem gazal poetry  shayar write writing write kavi kavita LINK",positive
12,1251931394063859712,0,en,"Hello Friends
RajGardenPlants ROOKHRAJPAUDHSHALA
memories covid19 corona IndiaFightsCorona stayhome staysafe Shayari love ishc pyar poem gazal poetry  shayar write writing write kavi kavita LINK",positive
13,1252764319915233280,1,en,Stigmabase   The domestic workers left stranded by coronavirus  also travelled abroad to find work they have found themselves jobless and stranded in a foreign country Here are the stories of women from India  View article LINK,negative
14,1258620042641539073,0,en,Dr Hari Krishna Maram Digital Brand Ambassador amp Chairman Vision Digital India Article Title Success Strategies for the Education Sector  COVID19 Pandemic Issue of Education Post Magazine visiondigitalindia LINK,positive
15,1258802798101172231,0,en,Lockdown mein interview lockdown covid19 interview china india stayhome news masti  Indore India LINK,neutral
16,1260855296722862081,0,en,"Looking For Beautiful Home interiors 
Call our experts on 9241117111 TASAinteriordesigner Bangalore Factory up and running with all Covid Saftey and hygiene protocols in LINK",positive
17,1260886771946016768,0,en,"On a journey to self love 




eyesonyou neutralstyle neutrals monochrome lifestyleblogger styleinspo everydaylife everydaystyle stayhomestaysafe covid19 
coronavirus sakhikapur  Delhi India LINK",positive
18,1251810947750117376,0,en,Thank You Switzerland 😊🙏🇨🇭 especially Zermatt for showing solidarity for India 🇮🇳 in its fight against the Covid19 Pandemic  Never thought I would see Matterhorn is Tricolours  Very Touching Gesture Thank you LINK,positive
19,1252536118853189633,0,en,"With the earth in lockdown and the impending hospital duty in a days time with covid19 threat looming large soothing melody is all I crave for

cover
tollywood LINK",positive
20,1258686343544258560,0,en,"The State of Flux

A Lowkey image of Paddyfield Pipit

COVID19 National Lockdown Day45

bcearth bcwildlifepotd EarthCapture EarthinFocus clawsnwings clawsnwings ThroughYourLens lenscaptureofficial LINK",neutral
21,1260867457557938177,0,en,"RETURNEE MIGRANTS IN ODISHA TO GET CERTIFICATE COURSE ON COVID19 TO WORK AS VOLUNTEERS AFTER THE COMPLETION OF THEIR QUARANTINE PERIOD

The returnee migrants placed at different medical camps of the state would LINK",neutral
22,1260955489552171014,0,en,"As the impact of Covid19 and lockdown are crippling the lives of people especially to the ones living in the margins of the society People have been struggling with even basic needs not met

The Mission to LINK",neutral
23,1251755415538409472,0,en,"lockdown recipe

As we all are fighting Corona by staying at home here is a fun healthy recipe to sort out your what to make for breakfast Worry

Also giving lots of ingredients options so you can avoid going LINK",positive
24,1251818752993193984,0,en,"Scarlet Shell Breaker

Red Ghost Crab

COVID19 National Lockdown Day26

bcearth asiaphotography2018 bcwildlifepotd EarthCapture EarthinFocus clawsnwings clawsnwings ThroughYourLens LINK",neutral
25,1252152132133957634,0,en,Remove the mask Stop playing Sam covid19 is a great wake up call for all of us to stop 🛑 wasting time and embrace who we really are Be one with yourself cause frankly there is no one quiet like you 😎 LINK,positive
26,1252191166084214787,1,en,UTC 7  IN    India attempts to use coronavirus crisis to reform its mandis The Indian government is pulling out all the stops to expedite cash transfers into  lockdown which has hit the rural poor and the migrant workforce the hardest  for the LINK,negative
27,1252253307692814336,0,en,"Success is the richness of your contribution
🔥🔥🔥🔥
Agree Like it
Likecommentshare
🙏🙏🙏🙏
Stay home Save life 
DAY Of Lockdown in India FIGHT with CORONA
✊GO CORONA GO
3fa4df950165490 👈👈👈
Go Corona Go
🙏🙏🙏🙏
STAY LINK",positive
28,1252813473362272256,0,en,"🇮🇳 India

Covid19 Fast spreading but improving slightly contagion Est 001 of pop infected Peak daily deaths of 24 in 23 days Proj death toll 1782 in 123 days

🕛 204

14",positive
29,1258673548635385857,0,en,Shah Rukh Khan the coowner of tkriders will be helping the Tribagonians during this COVID 19 crisis across the country  Mumbai Maharashtra LINK,neutral
30,1261061671063220224,0,en,"LINK
We must continue to impose strict stayathome orders everywhere until there is an effective vaccine All persons should expect to stay at home for the next 210 years",positive
